year,field,question_number,question_key,letters_only_total,chars_total
2018,LC,44,2018	LC_44,904,1088
2020,LC,31,2020	LC_31,1024,1245
2021,LC,26,2021	LC_26,1124,1436
2017,CH,47,2017	CH_47,788,975
2017,CH,68,2017	CH_68,698,855
2017,CH,69,2017	CH_69,744,881
2017,CH,75,2017	CH_75,924,1137
2018,CH,77,2018	CH_77,524,650
2019,CH,56,2019	CH_56,701,852
2019,CH,64,2019	CH_64,730,925
2019,CH,65,2019	CH_65,698,866
2020,CH,56,2020	CH_56,479,589
2020,CH,59,2020	CH_59,629,772
2020,CH,70,2020	CH_70,623,765
2020,CH,76,2020	CH_76,679,823
2020,CH,77,2020	CH_77,698,869
2020,CH,78,2020	CH_78,440,547
2020,CH,82,2020	CH_82,715,895
2020,CH,84,2020	CH_84,496,608
2021,CH,46,2021	CH_46,650,802
2021,CH,51,2021	CH_51,580,693
2021,CH,57,2021	CH_57,582,690
2021,CH,65,2021	CH_65,598,738
2021,CH,76,2021	CH_76,669,825
2021,CH,83,2021	CH_83,979,1219
2021,CH,86,2021	CH_86,604,737
2022,CH,47,2022	CH_47,744,923
2022,CH,51,2022	CH_51,779,945
2022,CH,60,2022	CH_60,879,1065
2022,CH,71,2022	CH_71,651,789
